Poverty line,Year,World (Observed),World,East Asia & Pacific (Observed),East Asia & Pacific,Europe & Central Asia (Observed),Europe & Central Asia,Latin America & Caribbean (Observed),Latin America & Caribbean,"Middle East, North Africa, Afghanistan & Pakistan (Observed)","Middle East, North Africa, Afghanistan & Pakistan",North America (Observed),North America,South Asia (Observed),South Asia,Sub-Saharan Africa (Observed),Sub-Saharan Africa,Eastern & Southern Africa (Observed),Eastern & Southern Africa,Western & Central Africa (Observed),Western & Central Africa
$3.00 (2021 PPP),2019,NA,10.796557589243204,2.5870106096392465,NA,0.7580326540903749,NA,5.983277238363819,NA,11.401339488072363,11.401339488072363,0.822759891649986,NA,NA,8.713225320863296,44.39600378892639,NA,NA,51.590407084139066,33.90092158644894,NA
$3.00 (2021 PPP),2020,11.398536956719198,NA,2.7275294993818404,NA,0.8251150354594998,NA,5.641808153303109,NA,NA,12.053811369257119,0.2556336863988712,NA,9.389874547695186,NA,46.39438077237999,NA,53.35937837102964,NA,36.20237109307893,NA
$3.00 (2021 PPP),2021,11.24025377486875,NA,2.628998075336676,NA,0.7505122329794438,NA,6.2517072075609565,NA,NA,12.011555144278235,0.2313752389983436,NA,7.8701474935846285,NA,46.591619715393286,NA,53.51548430800601,NA,36.430821852829304,NA
$3.00 (2021 PPP),2022,10.802792532520098,NA,2.4243206931707943,NA,0.6939750529216561,NA,5.045348778705889,NA,NA,11.628828485177321,1.1131819439334747,NA,6.129091945702777,NA,46.370197263375545,NA,53.110986387484004,NA,36.4522623324344,NA
$3.00 (2021 PPP),2023,10.520796741898282,10.520796741898282,2.2021610649352428,2.2021610649352428,0.6192008400712372,0.6192008400712372,4.602439409957515,4.602439409957515,NA,11.591268100501665,1.0036884524945455,1.0036884524945455,4.676008589923634,4.676008589923634,46.51078905541389,46.51078905541389,53.252483241698826,53.252483241698826,36.57816071328133,36.57816071328133
$3.00 (2021 PPP),2024,10.307281727916834,10.307281727916834,1.995937933607797,1.995937933607797,0.5343750153626375,0.5343750153626375,4.473496895811641,4.473496895811641,NA,11.792780440065329,0.9972452871683894,0.9972452871683894,3.789207979508707,3.789207979508707,45.98681306695582,45.98681306695582,NA,52.939034221396334,35.73638272253929,35.73638272253929
$3.00 (2021 PPP),2025,NA,10.11977565345983,NA,1.879153849628765,NA,0.5086331251086257,NA,4.418037611491188,NA,11.757192299029635,NA,0.9924527889229996,NA,3.1165808733699856,NA,45.21384461856388,NA,52.14572466863605,NA,34.972481368443
$4.20 (2021 PPP),1990,55.60297782143944,NA,76.98175001783723,NA,7.519352917793548,NA,31.097201945560126,NA,46.441685958874,NA,0.6407960432962445,NA,77.13526585060379,NA,73.87861839365453,NA,NA,73.32963063143961,74.69528801295769,NA
$4.20 (2021 PPP),1991,55.610983009397096,NA,76.30452354506743,NA,8.306582947519683,NA,30.39617700045756,NA,46.212828342367274,NA,0.7052281736177091,NA,77.14121535523941,NA,74.62484494971986,NA,NA,74.07413481170781,75.4449594865968,NA
$4.20 (2021 PPP),1992,55.34658810449131,NA,75.14820606148477,NA,9.74469072933617,NA,30.252864666730172,NA,43.71901680449609,NA,0.714824586997256,NA,76.69115021469888,NA,75.46311437924975,NA,NA,75.06482061046036,76.05568536722089,NA
$4.20 (2021 PPP),1993,55.157976135302015,NA,73.81284464585934,NA,11.010369050455676,NA,30.47510714972662,NA,43.57579285246864,NA,0.7490563334535972,NA,76.042832118084,NA,76.26050293144762,NA,76.08890998422555,NA,76.51596975535631,NA
$4.20 (2021 PPP),1994,54.529034155516854,NA,71.49807400318022,NA,13.180601236495765,NA,29.643047181380673,NA,42.16711473219031,NA,0.7722629314496107,NA,75.43551573703569,NA,76.36687705740796,NA,76.03228243426592,NA,76.8650434498353,NA
